,index,date,passengers
0,4,2017-01-01,541993
1,21,2017-02-01,491874
2,38,2017-03-01,471838
3,55,2017-04-01,475599
4,72,2017-05-01,440547
5,89,2017-06-01,477991
6,106,2017-07-01,520005
7,123,2017-08-01,542279
8,140,2017-09-01,501904
9,157,2017-10-01,483150
10,174,2017-11-01,491107
11,191,2017-12-01,510444
12,208,2018-01-01,551071
13,225,2018-02-01,481609
14,242,2018-03-01,504168
15,259,2018-04-01,507481
16,276,2018-05-01,495594
17,293,2018-06-01,501157
18,310,2018-07-01,529137
19,327,2018-08-01,532857
20,344,2018-09-01,478594
21,361,2018-10-01,509412
22,378,2018-11-01,482153
23,395,2018-12-01,498895
24,412,2019-01-01,542266
25,429,2019-02-01,470436
26,446,2019-03-01,483930
27,463,2019-04-01,511264
28,480,2019-05-01,524011
29,497,2019-06-01,521201
30,514,2019-07-01,536849
31,531,2019-08-01,526614
32,548,2019-09-01,486921
33,565,2019-10-01,533664
34,582,2019-11-01,513373
35,599,2019-12-01,528936
36,616,2020-01-01,545288
37,633,2020-02-01,285577
38,650,2020-03-01,57481
39,667,2020-04-01,6947
40,683,2020-05-01,11281
41,699,2020-06-01,18929
42,715,2020-07-01,21724
43,731,2020-08-01,24778
44,748,2020-09-01,23017
45,765,2020-10-01,24997
46,782,2020-11-01,26028
47,799,2020-12-01,30908
48,816,2021-01-01,26935
49,833,2021-02-01,18321
50,850,2021-03-01,22135
51,867,2021-04-01,19898
52,884,2021-05-01,18442
53,901,2021-06-01,22304
54,918,2021-07-01,26032
55,935,2021-08-01,34865
